model,fold,accuracy,f1,roc_auc
Logistic Regression (L2),1,0.7625,0.6984126984126984,0.7673333333333333
Logistic Regression (L2),2,0.625,0.5588235294117647,0.6666666666666665
Logistic Regression (L2),3,0.6125,0.5230769230769231,0.6593333333333333
Logistic Regression (L2),4,0.725,0.6666666666666666,0.7893333333333334
Logistic Regression (L2),5,0.675,0.6176470588235294,0.716
Random Forest,1,0.675,0.5806451612903226,0.7346666666666666
Random Forest,2,0.6625,0.5846153846153846,0.6793333333333333
Random Forest,3,0.5625,0.4262295081967213,0.638
Random Forest,4,0.825,0.7666666666666667,0.8046666666666666
Random Forest,5,0.7,0.625,0.72
Gradient Boosting,1,0.65,0.48148148148148145,0.6666666666666666
Gradient Boosting,2,0.65,0.5333333333333333,0.648
Gradient Boosting,3,0.6,0.4074074074074074,0.652
Gradient Boosting,4,0.7,0.625,0.7773333333333333
Gradient Boosting,5,0.675,0.5517241379310345,0.6819999999999999
